2014-10-13 18:40:52 install libbz2-1.0 <none> 1.0.5-6+squeeze1
2014-10-13 18:40:52 status half-installed libbz2-1.0 1.0.5-6+squeeze1
2014-10-13 18:40:52 status unpacked libbz2-1.0 1.0.5-6+squeeze1
2014-10-13 18:40:52 status unpacked libbz2-1.0 1.0.5-6+squeeze1
2014-10-13 18:40:52 install libc-bin <none> 2.11.3-4
2014-10-13 18:40:52 status half-installed libc-bin 2.11.3-4
2014-10-13 18:40:52 status unpacked libc-bin 2.11.3-4
2014-10-13 18:40:52 status unpacked libc-bin 2.11.3-4
2014-10-13 18:40:52 upgrade libc6 2.11.3-4 2.11.3-4
2014-10-13 18:40:52 status half-configured libc6 2.11.3-4
2014-10-13 18:40:52 status unpacked libc6 2.11.3-4
2014-10-13 18:40:52 status half-installed libc6 2.11.3-4
2014-10-13 18:40:54 status half-installed libc6 2.11.3-4
2014-10-13 18:40:54 status unpacked libc6 2.11.3-4
2014-10-13 18:40:54 status unpacked libc6 2.11.3-4
2014-10-13 18:40:54 install libcomerr2 <none> 1.41.12-4stable1
2014-10-13 18:40:54 status half-installed libcomerr2 1.41.12-4stable1
2014-10-13 18:40:54 status unpacked libcomerr2 1.41.12-4stable1
2014-10-13 18:40:54 status unpacked libcomerr2 1.41.12-4stable1
2014-10-13 18:40:54 install libdb4.8 <none> 4.8.30-2
2014-10-13 18:40:54 status half-installed libdb4.8 4.8.30-2
2014-10-13 18:40:54 status unpacked libdb4.8 4.8.30-2
2014-10-13 18:40:54 status unpacked libdb4.8 4.8.30-2
2014-10-13 18:40:54 install libgcc1 <none> 1:4.4.5-8
2014-10-13 18:40:54 status half-installed libgcc1 1:4.4.5-8
2014-10-13 18:40:54 status unpacked libgcc1 1:4.4.5-8
2014-10-13 18:40:54 status unpacked libgcc1 1:4.4.5-8
2014-10-13 18:40:54 install liblocale-gettext-perl <none> 1.05-6
2014-10-13 18:40:54 status half-installed liblocale-gettext-perl 1.05-6
2014-10-13 18:40:54 status unpacked liblocale-gettext-perl 1.05-6
2014-10-13 18:40:54 status unpacked liblocale-gettext-perl 1.05-6
2014-10-13 18:40:54 install liblzma2 <none> 5.0.0-2
2014-10-13 18:40:54 status half-installed liblzma2 5.0.0-2
2014-10-13 18:40:54 status unpacked liblzma2 5.0.0-2
2014-10-13 18:40:54 status unpacked liblzma2 5.0.0-2
2014-10-13 18:40:54 install libncurses5 <none> 5.7+20100313-5
2014-10-13 18:40:54 status half-installed libncurses5 5.7+20100313-5
2014-10-13 18:40:55 status unpacked libncurses5 5.7+20100313-5
2014-10-13 18:40:55 status unpacked libncurses5 5.7+20100313-5
2014-10-13 18:40:55 install libpam-modules <none> 1.1.1-6.1+squeeze1
2014-10-13 18:40:55 status half-installed libpam-modules 1.1.1-6.1+squeeze1
2014-10-13 18:40:55 status unpacked libpam-modules 1.1.1-6.1+squeeze1
2014-10-13 18:40:55 status unpacked libpam-modules 1.1.1-6.1+squeeze1
2014-10-13 18:40:55 install libpam-runtime <none> 1.1.1-6.1+squeeze1
2014-10-13 18:40:55 status half-installed libpam-runtime 1.1.1-6.1+squeeze1
2014-10-13 18:40:56 status unpacked libpam-runtime 1.1.1-6.1+squeeze1
2014-10-13 18:40:57 status unpacked libpam-runtime 1.1.1-6.1+squeeze1
2014-10-13 18:40:57 install libpam0g <none> 1.1.1-6.1+squeeze1
2014-10-13 18:40:57 status half-installed libpam0g 1.1.1-6.1+squeeze1
2014-10-13 18:40:57 status unpacked libpam0g 1.1.1-6.1+squeeze1
2014-10-13 18:40:57 status unpacked libpam0g 1.1.1-6.1+squeeze1
2014-10-13 18:40:57 install libselinux1 <none> 2.0.96-1
2014-10-13 18:40:57 status half-installed libselinux1 2.0.96-1
2014-10-13 18:40:57 status unpacked libselinux1 2.0.96-1
2014-10-13 18:40:57 status unpacked libselinux1 2.0.96-1
2014-10-13 18:40:57 install libsepol1 <none> 2.0.41-1
2014-10-13 18:40:57 status half-installed libsepol1 2.0.41-1
2014-10-13 18:40:57 status unpacked libsepol1 2.0.41-1
2014-10-13 18:40:57 status unpacked libsepol1 2.0.41-1
2014-10-13 18:40:57 install libslang2 <none> 2.2.2-4
2014-10-13 18:40:57 status half-installed libslang2 2.2.2-4
2014-10-13 18:40:57 status unpacked libslang2 2.2.2-4
2014-10-13 18:40:57 status unpacked libslang2 2.2.2-4
2014-10-13 18:40:57 install libss2 <none> 1.41.12-4stable1
2014-10-13 18:40:57 status half-installed libss2 1.41.12-4stable1
2014-10-13 18:40:57 status unpacked libss2 1.41.12-4stable1
2014-10-13 18:40:57 status unpacked libss2 1.41.12-4stable1
2014-10-13 18:40:57 install libstdc++6 <none> 4.4.5-8
2014-10-13 18:40:57 status half-installed libstdc++6 4.4.5-8
2014-10-13 18:40:57 status unpacked libstdc++6 4.4.5-8
2014-10-13 18:40:57 status unpacked libstdc++6 4.4.5-8
2014-10-13 18:40:57 install libtext-charwidth-perl <none> 0.04-6
2014-10-13 18:40:57 status half-installed libtext-charwidth-perl 0.04-6
2014-10-13 18:40:57 status unpacked libtext-charwidth-perl 0.04-6
2014-10-13 18:40:57 status unpacked libtext-charwidth-perl 0.04-6
2014-10-13 18:40:57 install libtext-iconv-perl <none> 1.7-2
2014-10-13 18:40:57 status half-installed libtext-iconv-perl 1.7-2
2014-10-13 18:40:57 status unpacked libtext-iconv-perl 1.7-2
2014-10-13 18:40:57 status unpacked libtext-iconv-perl 1.7-2
2014-10-13 18:40:57 install libtext-wrapi18n-perl <none> 0.06-7
2014-10-13 18:40:57 status half-installed libtext-wrapi18n-perl 0.06-7
2014-10-13 18:40:57 status unpacked libtext-wrapi18n-perl 0.06-7
2014-10-13 18:40:57 status unpacked libtext-wrapi18n-perl 0.06-7
2014-10-13 18:40:57 install libuuid1 <none> 2.17.2-9
2014-10-13 18:40:57 status half-installed libuuid1 2.17.2-9
2014-10-13 18:40:57 status unpacked libuuid1 2.17.2-9
2014-10-13 18:40:57 status unpacked libuuid1 2.17.2-9
2014-10-13 18:40:57 install login <none> 1:4.1.4.2+svn3283-2+squeeze1
2014-10-13 18:40:57 status half-installed login 1:4.1.4.2+svn3283-2+squeeze1
2014-10-13 18:40:57 status unpacked login 1:4.1.4.2+svn3283-2+squeeze1
2014-10-13 18:40:57 status unpacked login 1:4.1.4.2+svn3283-2+squeeze1
2014-10-13 18:40:57 install lsb-base <none> 3.2-23.2squeeze1
2014-10-13 18:40:57 status half-installed lsb-base 3.2-23.2squeeze1
2014-10-13 18:40:57 status unpacked lsb-base 3.2-23.2squeeze1
2014-10-13 18:40:57 status unpacked lsb-base 3.2-23.2squeeze1
2014-10-13 18:40:57 upgrade mawk 1.3.3-15 1.3.3-15
2014-10-13 18:40:57 status half-configured mawk 1.3.3-15
2014-10-13 18:40:57 status unpacked mawk 1.3.3-15
2014-10-13 18:40:57 status half-installed mawk 1.3.3-15
2014-10-13 18:40:57 status half-installed mawk 1.3.3-15
2014-10-13 18:40:57 status unpacked mawk 1.3.3-15
2014-10-13 18:40:57 status unpacked mawk 1.3.3-15
2014-10-13 18:40:57 install mount <none> 2.17.2-9
2014-10-13 18:40:57 status half-installed mount 2.17.2-9
2014-10-13 18:40:57 status unpacked mount 2.17.2-9
2014-10-13 18:40:57 status unpacked mount 2.17.2-9
2014-10-13 18:40:57 install ncurses-base <none> 5.7+20100313-5
2014-10-13 18:40:57 status half-installed ncurses-base 5.7+20100313-5
2014-10-13 18:40:58 status unpacked ncurses-base 5.7+20100313-5
2014-10-13 18:40:58 status unpacked ncurses-base 5.7+20100313-5
2014-10-13 18:40:58 install ncurses-bin <none> 5.7+20100313-5
2014-10-13 18:40:58 status half-installed ncurses-bin 5.7+20100313-5
2014-10-13 18:40:58 status unpacked ncurses-bin 5.7+20100313-5
2014-10-13 18:40:58 status unpacked ncurses-bin 5.7+20100313-5
2014-10-13 18:40:58 install passwd <none> 1:4.1.4.2+svn3283-2+squeeze1
2014-10-13 18:40:58 status half-installed passwd 1:4.1.4.2+svn3283-2+squeeze1
2014-10-13 18:40:58 status unpacked passwd 1:4.1.4.2+svn3283-2+squeeze1
2014-10-13 18:40:58 status unpacked passwd 1:4.1.4.2+svn3283-2+squeeze1
2014-10-13 18:40:58 upgrade perl-base 5.10.1-17squeeze6 5.10.1-17squeeze6
2014-10-13 18:40:58 status half-configured perl-base 5.10.1-17squeeze6
2014-10-13 18:40:59 status unpacked perl-base 5.10.1-17squeeze6
2014-10-13 18:40:59 status half-installed perl-base 5.10.1-17squeeze6
2014-10-13 18:40:59 status half-installed perl-base 5.10.1-17squeeze6
2014-10-13 18:40:59 status unpacked perl-base 5.10.1-17squeeze6
2014-10-13 18:40:59 status unpacked perl-base 5.10.1-17squeeze6
2014-10-13 18:40:59 install sed <none> 4.2.1-7
2014-10-13 18:40:59 status half-installed sed 4.2.1-7
2014-10-13 18:40:59 status unpacked sed 4.2.1-7
2014-10-13 18:40:59 status unpacked sed 4.2.1-7
2014-10-13 18:40:59 install sensible-utils <none> 0.0.4
2014-10-13 18:40:59 status half-installed sensible-utils 0.0.4
2014-10-13 18:40:59 status unpacked sensible-utils 0.0.4
2014-10-13 18:40:59 status unpacked sensible-utils 0.0.4
2014-10-13 18:40:59 install sysv-rc <none> 2.88dsf-13.1+squeeze1
2014-10-13 18:40:59 status half-installed sysv-rc 2.88dsf-13.1+squeeze1
2014-10-13 18:40:59 status unpacked sysv-rc 2.88dsf-13.1+squeeze1
2014-10-13 18:40:59 status unpacked sysv-rc 2.88dsf-13.1+squeeze1
2014-10-13 18:40:59 install sysvinit <none> 2.88dsf-13.1+squeeze1
2014-10-13 18:40:59 status half-installed sysvinit 2.88dsf-13.1+squeeze1
2014-10-13 18:40:59 status unpacked sysvinit 2.88dsf-13.1+squeeze1
2014-10-13 18:40:59 status unpacked sysvinit 2.88dsf-13.1+squeeze1
2014-10-13 18:40:59 install sysvinit-utils <none> 2.88dsf-13.1+squeeze1
2014-10-13 18:40:59 status half-installed sysvinit-utils 2.88dsf-13.1+squeeze1
2014-10-13 18:40:59 status unpacked sysvinit-utils 2.88dsf-13.1+squeeze1
2014-10-13 18:40:59 status unpacked sysvinit-utils 2.88dsf-13.1+squeeze1
2014-10-13 18:40:59 install tar <none> 1.23-3
2014-10-13 18:40:59 status half-installed tar 1.23-3
2014-10-13 18:41:00 status unpacked tar 1.23-3
2014-10-13 18:41:00 status unpacked tar 1.23-3
2014-10-13 18:41:00 install tzdata <none> 2014e-0squeeze1
2014-10-13 18:41:00 status half-installed tzdata 2014e-0squeeze1
2014-10-13 18:41:02 status unpacked tzdata 2014e-0squeeze1
2014-10-13 18:41:02 status unpacked tzdata 2014e-0squeeze1
2014-10-13 18:41:02 install util-linux <none> 2.17.2-9
2014-10-13 18:41:02 status half-installed util-linux 2.17.2-9
2014-10-13 18:41:02 status unpacked util-linux 2.17.2-9
2014-10-13 18:41:02 status unpacked util-linux 2.17.2-9
2014-10-13 18:41:02 install xz-utils <none> 5.0.0-2
2014-10-13 18:41:02 status half-installed xz-utils 5.0.0-2
2014-10-13 18:41:02 status unpacked xz-utils 5.0.0-2
2014-10-13 18:41:02 status unpacked xz-utils 5.0.0-2
